date,temp,precip,sw_in,rel_hum,wind_speed,wind_dir,air_pres
2022-10-01 00:00:00,281.55,0.0,0.0,94.0,0.2,80.0,926.4
2022-10-01 01:00:00,280.85,0.0,0.0,93.0,0.3,358.0,926.8
2022-10-01 02:00:00,280.25,0.0,0.0,94.0,0.2,262.0,926.5
2022-10-01 03:00:00,279.15,0.0,0.0,95.0,0.3,281.0,926.3
2022-10-01 04:00:00,278.75,0.0,0.0,96.0,0.2,274.0,926.3
2022-10-01 05:00:00,278.45,0.0,0.0,96.0,0.2,357.0,926.6
2022-10-01 06:00:00,278.95,0.0,17.0,95.0,0.4,9.0,926.6
2022-10-01 07:00:00,279.95,0.0,81.0,94.0,0.3,67.0,926.8
2022-10-01 08:00:00,281.15,0.0,133.0,88.0,0.5,48.0,926.7
2022-10-01 09:00:00,281.85,0.0,101.0,86.0,0.6,59.0,926.7
2022-10-01 10:00:00,283.65,0.0,178.0,77.0,0.4,78.0,926.3
2022-10-01 11:00:00,284.25,0.0,130.0,74.0,0.4,304.0,926.3
2022-10-01 12:00:00,284.75,0.2,163.0,82.0,0.8,356.0,926.3
2022-10-01 13:00:00,285.55,0.3,198.0,79.0,0.5,340.0,926.2
2022-10-01 14:00:00,285.45,0.4,151.0,80.0,0.2,86.0,926.6
2022-10-01 15:00:00,284.45,0.7,93.0,86.0,1.2,341.0,926.9
2022-10-01 16:00:00,283.95,1.1,33.0,92.0,0.9,348.0,927.4
2022-10-01 17:00:00,283.75,1.3,3.0,93.0,1.2,342.0,928.4
2022-10-01 18:00:00,283.45,1.0,0.0,95.0,0.5,32.0,928.9
2022-10-01 19:00:00,283.15,1.2,0.0,91.0,1.0,332.0,929.6
2022-10-01 20:00:00,282.65,1.5,0.0,93.0,1.1,341.0,930.1
2022-10-01 21:00:00,282.35,2.3,0.0,95.0,1.3,343.0,930.9
2022-10-01 22:00:00,282.35,1.6,0.0,94.0,1.3,335.0,932.1
2022-10-01 23:00:00,282.25,0.9,0.0,96.0,0.5,25.0,932.4
2022-10-02 00:00:00,282.15,0.6,0.0,97.0,0.1,46.0,933.0
2022-10-02 01:00:00,282.15,0.3,0.0,97.0,0.3,40.0,933.4
2022-10-02 02:00:00,282.25,0.7,0.0,97.0,0.5,352.0,933.8
2022-10-02 03:00:00,282.35,0.5,0.0,97.0,0.6,358.0,933.7
2022-10-02 04:00:00,282.35,0.5,0.0,97.0,0.7,10.0,933.5
2022-10-02 05:00:00,282.25,0.2,0.0,97.0,0.5,357.0,933.2
2022-10-02 06:00:00,282.15,0.1,4.0,97.0,0.4,39.0,933.2
2022-10-02 07:00:00,282.55,0.0,25.0,97.0,0.5,12.0,933.3
2022-10-02 08:00:00,283.25,0.0,64.0,96.0,0.5,8.0,933.2
2022-10-02 09:00:00,284.45,0.1,138.0,93.0,0.2,103.0,932.7
2022-10-02 10:00:00,285.75,0.4,196.0,89.0,0.2,62.0,932.4
2022-10-02 11:00:00,286.95,0.0,273.0,86.0,1.2,15.0,931.8
2022-10-02 12:00:00,288.45,0.0,307.0,84.0,0.6,130.0,930.8
2022-10-02 13:00:00,288.75,0.4,303.0,87.0,0.3,120.0,930.9
2022-10-02 14:00:00,287.55,0.8,214.0,90.0,1.4,187.0,930.4
2022-10-02 15:00:00,288.95,0.5,254.0,86.0,0.1,305.0,930.2
2022-10-02 16:00:00,288.15,0.0,148.0,89.0,0.8,325.0,930.0
2022-10-02 17:00:00,286.55,0.0,21.0,91.0,0.2,353.0,930.3
2022-10-02 18:00:00,285.45,0.0,0.0,93.0,0.3,358.0,930.9
2022-10-02 19:00:00,285.45,0.0,0.0,87.0,0.6,334.0,931.0
2022-10-02 20:00:00,285.15,0.0,0.0,88.0,0.5,343.0,931.8
2022-10-02 21:00:00,284.75,0.0,0.0,92.0,0.2,32.0,932.2
2022-10-02 22:00:00,284.75,0.5,0.0,88.0,1.3,332.0,933.0
2022-10-02 23:00:00,283.75,1.4,0.0,88.0,1.1,342.0,934.2
2022-10-03 00:00:00,283.15,1.6,0.0,94.0,0.8,11.0,934.6
2022-10-03 01:00:00,282.95,0.3,0.0,96.0,0.4,47.0,934.9
2022-10-03 02:00:00,282.75,0.1,0.0,96.0,0.3,341.0,934.9
2022-10-03 03:00:00,282.65,0.2,0.0,96.0,0.2,317.0,934.9
2022-10-03 04:00:00,282.55,0.0,0.0,97.0,0.0,0.0,935.2
2022-10-03 05:00:00,282.55,0.1,0.0,97.0,0.1,103.0,935.1
2022-10-03 06:00:00,282.05,0.0,8.0,97.0,0.1,67.0,935.6
2022-10-03 07:00:00,282.65,0.0,24.0,97.0,0.2,218.0,936.3
2022-10-03 08:00:00,283.15,0.0,82.0,95.0,0.6,65.0,936.6
2022-10-03 09:00:00,285.05,0.0,202.0,88.0,0.5,93.0,936.8
2022-10-03 10:00:00,287.45,0.0,604.0,78.0,1.4,159.0,936.5
2022-10-03 11:00:00,287.85,0.0,617.0,72.0,2.0,141.0,935.9
2022-10-03 12:00:00,288.75,0.0,638.0,66.0,2.3,163.0,935.5
2022-10-03 13:00:00,289.95,0.0,585.0,62.0,1.4,173.0,934.8
2022-10-03 14:00:00,290.75,0.0,476.0,59.0,1.4,182.0,934.5
2022-10-03 15:00:00,289.55,0.0,355.0,59.0,1.2,188.0,934.1
2022-10-03 16:00:00,287.95,0.0,148.0,62.0,0.8,341.0,934.4
2022-10-03 17:00:00,286.15,0.0,24.0,71.0,0.9,345.0,934.8
2022-10-03 18:00:00,284.45,0.0,0.0,78.0,0.9,344.0,935.7
2022-10-03 19:00:00,282.95,0.0,0.0,85.0,0.7,340.0,936.3
2022-10-03 20:00:00,282.95,0.0,0.0,87.0,0.6,351.0,936.5
2022-10-03 21:00:00,283.15,0.0,0.0,88.0,0.3,92.0,936.5
2022-10-03 22:00:00,282.85,0.0,0.0,89.0,0.7,161.0,936.4
2022-10-03 23:00:00,282.85,0.0,0.0,90.0,0.6,165.0,935.9
2022-10-04 00:00:00,282.75,0.0,0.0,88.0,0.5,183.0,935.7
2022-10-04 01:00:00,282.25,0.0,0.0,89.0,1.2,156.0,935.6
2022-10-04 02:00:00,280.95,0.0,0.0,90.0,1.0,166.0,935.3
2022-10-04 03:00:00,279.65,0.0,0.0,93.0,0.5,187.0,934.9
2022-10-04 04:00:00,278.85,0.0,0.0,94.0,0.6,275.0,935.2
2022-10-04 05:00:00,278.15,0.0,0.0,94.0,0.5,281.0,935.3
2022-10-04 06:00:00,277.85,0.0,15.0,95.0,0.1,14.0,935.3
2022-10-04 07:00:00,279.85,0.0,121.0,89.0,0.4,53.0,935.6
2022-10-04 08:00:00,282.15,0.0,218.0,74.0,0.9,151.0,935.6
2022-10-04 09:00:00,283.45,0.0,304.0,70.0,0.5,106.0,935.3
2022-10-04 10:00:00,284.85,0.0,386.0,63.0,0.7,69.0,934.9
2022-10-04 11:00:00,286.75,0.0,409.0,58.0,0.4,98.0,934.7
2022-10-04 12:00:00,288.25,0.0,473.0,52.0,0.4,173.0,934.1
2022-10-04 13:00:00,290.25,0.0,504.0,52.0,0.6,160.0,933.3
2022-10-04 14:00:00,290.15,0.0,376.0,52.0,1.0,186.0,933.3
2022-10-04 15:00:00,289.65,0.0,312.0,53.0,1.3,212.0,933.3
2022-10-04 16:00:00,286.85,0.0,111.0,67.0,0.7,228.0,933.8
2022-10-04 17:00:00,284.55,0.0,16.0,79.0,0.3,254.0,934.7
2022-10-04 18:00:00,282.75,0.0,0.0,87.0,0.1,50.0,935.5
2022-10-04 19:00:00,281.65,0.0,0.0,89.0,0.2,330.0,935.9
2022-10-04 20:00:00,280.65,0.0,0.0,92.0,0.2,309.0,936.6
2022-10-04 21:00:00,280.25,0.0,0.0,94.0,0.3,342.0,937.1
2022-10-04 22:00:00,279.65,0.0,0.0,94.0,0.1,348.0,937.4
2022-10-04 23:00:00,278.65,0.0,0.0,95.0,0.3,22.0,937.5
2022-10-05 00:00:00,278.25,0.0,0.0,95.0,0.5,18.0,937.6
2022-10-05 01:00:00,277.95,0.0,0.0,96.0,0.3,2.0,937.5
2022-10-05 02:00:00,277.35,0.0,0.0,96.0,0.5,23.0,937.4
2022-10-05 03:00:00,277.05,0.0,0.0,96.0,0.5,11.0,937.0
2022-10-05 04:00:00,277.15,0.0,0.0,96.0,0.6,16.0,936.9
2022-10-05 05:00:00,276.55,0.0,0.0,96.0,0.6,15.0,937.3
2022-10-05 06:00:00,276.25,0.0,6.0,96.0,0.6,19.0,937.4
2022-10-05 07:00:00,278.35,0.0,109.0,90.0,0.7,28.0,937.5
2022-10-05 08:00:00,280.65,0.0,299.0,83.0,1.2,44.0,937.3
2022-10-05 09:00:00,284.25,0.0,438.0,68.0,1.3,55.0,936.8
2022-10-05 10:00:00,287.25,0.0,537.0,55.0,1.0,72.0,935.9
2022-10-05 11:00:00,289.95,0.0,607.0,49.0,0.8,78.0,935.3
2022-10-05 12:00:00,292.25,0.0,593.0,44.0,0.7,100.0,934.4
2022-10-05 13:00:00,293.55,0.0,527.0,39.0,0.7,59.0,933.8
2022-10-05 14:00:00,294.25,0.0,395.0,36.0,0.8,174.0,933.6
2022-10-05 15:00:00,291.75,0.0,244.0,51.0,1.1,221.0,933.7
2022-10-05 16:00:00,290.05,0.0,142.0,56.0,0.9,242.0,934.1
2022-10-05 17:00:00,286.75,0.0,20.0,71.0,0.1,225.0,935.1
2022-10-05 18:00:00,284.45,0.0,0.0,81.0,0.3,335.0,936.3
2022-10-05 19:00:00,283.15,0.0,0.0,85.0,0.3,330.0,937.0
2022-10-05 20:00:00,282.35,0.0,0.0,87.0,0.4,337.0,937.8
2022-10-05 21:00:00,281.35,0.0,0.0,89.0,0.2,350.0,938.6
2022-10-05 22:00:00,280.65,0.0,0.0,91.0,0.2,360.0,939.0
2022-10-05 23:00:00,280.25,0.0,0.0,93.0,0.3,12.0,939.5
2022-10-06 00:00:00,279.65,0.0,0.0,93.0,0.4,10.0,939.9
2022-10-06 01:00:00,279.35,0.0,0.0,94.0,0.3,20.0,940.0
2022-10-06 02:00:00,278.85,0.0,0.0,95.0,0.4,13.0,940.1
2022-10-06 03:00:00,278.25,0.0,0.0,95.0,0.3,4.0,940.4
2022-10-06 04:00:00,277.95,0.0,0.0,95.0,0.5,12.0,940.9
2022-10-06 05:00:00,277.45,0.0,0.0,95.0,0.3,344.0,941.2
2022-10-06 06:00:00,277.75,0.0,6.0,96.0,0.3,31.0,941.8
2022-10-06 07:00:00,279.25,0.0,104.0,89.0,0.5,33.0,942.3
2022-10-06 08:00:00,281.65,0.0,287.0,85.0,1.0,51.0,942.3
2022-10-06 09:00:00,284.35,0.0,425.0,75.0,0.9,71.0,942.0
2022-10-06 10:00:00,287.35,0.0,527.0,62.0,1.1,84.0,941.1
2022-10-06 11:00:00,290.55,0.0,588.0,49.0,0.7,86.0,940.4
2022-10-06 12:00:00,293.05,0.0,592.0,41.0,0.6,150.0,939.7
2022-10-06 13:00:00,294.55,0.0,546.0,37.0,1.4,191.0,938.9
2022-10-06 14:00:00,294.35,0.0,442.0,43.0,1.6,189.0,938.6
2022-10-06 15:00:00,292.75,0.0,295.0,48.0,1.4,220.0,938.6
2022-10-06 16:00:00,290.05,0.0,104.0,62.0,1.0,236.0,938.7
2022-10-06 17:00:00,288.35,0.0,11.0,69.0,0.5,341.0,939.2
2022-10-06 18:00:00,285.85,0.0,0.0,81.0,0.5,25.0,939.9
2022-10-06 19:00:00,284.85,0.0,0.0,85.0,0.3,323.0,940.2
2022-10-06 20:00:00,283.55,0.0,0.0,88.0,0.2,271.0,940.7
2022-10-06 21:00:00,282.75,0.0,0.0,91.0,0.0,0.0,940.8
2022-10-06 22:00:00,281.95,0.0,0.0,93.0,0.0,0.0,940.5
2022-10-06 23:00:00,281.05,0.0,0.0,93.0,0.1,301.0,940.3
2022-10-07 00:00:00,280.75,0.0,0.0,95.0,0.1,23.0,940.1
2022-10-07 01:00:00,280.35,0.0,0.0,96.0,0.2,360.0,939.9
2022-10-07 02:00:00,279.45,0.0,0.0,96.0,0.2,4.0,939.5
2022-10-07 03:00:00,278.85,0.0,0.0,96.0,0.5,29.0,939.0
2022-10-07 04:00:00,278.75,0.0,0.0,96.0,0.4,27.0,938.8
2022-10-07 05:00:00,278.05,0.0,0.0,96.0,0.4,23.0,938.5
2022-10-07 06:00:00,278.45,0.0,5.0,96.0,0.6,29.0,938.2
2022-10-07 07:00:00,280.15,0.0,96.0,94.0,0.8,31.0,938.2
2022-10-07 08:00:00,283.25,0.0,282.0,86.0,1.2,47.0,937.9
2022-10-07 09:00:00,286.15,0.0,425.0,74.0,1.1,54.0,937.0
2022-10-07 10:00:00,288.75,0.0,532.0,62.0,1.2,73.0,935.9
2022-10-07 11:00:00,291.35,0.0,583.0,54.0,0.9,79.0,934.8
2022-10-07 12:00:00,293.25,0.0,589.0,49.0,0.8,99.0,933.6
2022-10-07 13:00:00,294.85,0.0,547.0,35.0,0.5,23.0,932.4
2022-10-07 14:00:00,296.55,0.0,444.0,34.0,0.6,125.0,931.8
2022-10-07 15:00:00,294.05,0.0,305.0,47.0,1.2,200.0,931.2
2022-10-07 16:00:00,291.15,0.0,108.0,54.0,1.2,230.0,931.4
2022-10-07 17:00:00,288.55,0.0,8.0,66.0,0.8,242.0,932.1
2022-10-07 18:00:00,286.35,0.0,0.0,78.0,0.2,335.0,932.9
2022-10-07 19:00:00,284.85,0.0,0.0,84.0,0.2,281.0,933.2
2022-10-07 20:00:00,283.85,0.0,0.0,88.0,0.2,279.0,933.5
2022-10-07 21:00:00,283.35,0.0,0.0,89.0,0.1,341.0,933.6
2022-10-07 22:00:00,282.55,0.0,0.0,93.0,0.1,16.0,933.6
2022-10-07 23:00:00,281.65,0.0,0.0,93.0,0.1,10.0,933.5
2022-10-08 00:00:00,281.25,0.0,0.0,94.0,0.1,337.0,933.2
2022-10-08 01:00:00,280.55,0.0,0.0,95.0,0.0,0.0,933.1
2022-10-08 02:00:00,279.95,0.0,0.0,96.0,0.2,36.0,933.0
2022-10-08 03:00:00,279.25,0.0,0.0,96.0,0.4,15.0,933.0
2022-10-08 04:00:00,279.05,0.0,0.0,96.0,0.1,17.0,933.2
2022-10-08 05:00:00,278.05,0.0,0.0,96.0,0.3,25.0,933.3
2022-10-08 06:00:00,278.85,0.0,14.0,96.0,0.4,29.0,933.5
2022-10-08 07:00:00,280.65,0.0,100.0,96.0,0.5,36.0,934.1
2022-10-08 08:00:00,282.25,0.0,157.0,92.0,0.7,55.0,934.0
2022-10-08 09:00:00,285.25,0.0,310.0,77.0,0.7,81.0,933.5
2022-10-08 10:00:00,287.75,0.0,635.0,62.0,0.8,64.0,933.0
2022-10-08 11:00:00,290.35,0.0,545.0,55.0,0.8,44.0,932.1
2022-10-08 12:00:00,290.15,0.0,249.0,57.0,0.6,62.0,931.5
2022-10-08 13:00:00,290.65,0.0,222.0,55.0,0.7,204.0,931.1
2022-10-08 14:00:00,290.45,0.0,149.0,56.0,0.5,153.0,931.0
2022-10-08 15:00:00,288.55,0.0,58.0,71.0,1.3,216.0,931.8
2022-10-08 16:00:00,286.85,0.4,10.0,88.0,0.4,351.0,932.4
2022-10-08 17:00:00,286.05,0.3,1.0,93.0,0.2,74.0,933.2
2022-10-08 18:00:00,285.55,0.4,0.0,95.0,0.4,86.0,933.8
2022-10-08 19:00:00,284.95,0.0,0.0,95.0,0.6,58.0,934.2
2022-10-08 20:00:00,284.75,0.0,0.0,95.0,0.6,20.0,934.5
2022-10-08 21:00:00,284.55,0.0,0.0,96.0,0.4,48.0,934.9
2022-10-08 22:00:00,284.55,0.1,0.0,96.0,0.4,51.0,934.8
2022-10-08 23:00:00,284.65,0.0,0.0,92.0,0.1,98.0,934.6
2022-10-09 00:00:00,284.15,0.3,0.0,94.0,0.2,16.0,934.7
2022-10-09 01:00:00,283.75,0.1,0.0,91.0,0.2,47.0,934.6
2022-10-09 02:00:00,283.45,0.0,0.0,94.0,0.5,171.0,934.4
2022-10-09 03:00:00,283.25,0.0,0.0,92.0,0.7,189.0,934.1
2022-10-09 04:00:00,283.15,0.0,0.0,92.0,0.3,230.0,934.1
2022-10-09 05:00:00,283.05,0.0,0.0,94.0,0.2,133.0,933.8
2022-10-09 06:00:00,282.95,0.0,2.0,93.0,0.3,201.0,933.8
2022-10-09 07:00:00,283.15,0.0,12.0,91.0,0.5,191.0,934.4
2022-10-09 08:00:00,283.45,0.0,33.0,87.0,0.8,184.0,934.7
2022-10-09 09:00:00,283.65,0.6,71.0,91.0,1.0,169.0,934.8
2022-10-09 10:00:00,283.65,1.0,94.0,93.0,1.0,186.0,934.4
2022-10-09 11:00:00,284.35,0.7,189.0,87.0,0.8,201.0,934.0
2022-10-09 12:00:00,285.35,0.1,221.0,86.0,0.4,121.0,933.2
2022-10-09 13:00:00,285.85,0.0,199.0,84.0,0.3,163.0,932.5
2022-10-09 14:00:00,286.25,0.0,177.0,83.0,0.8,155.0,932.0
2022-10-09 15:00:00,286.15,0.0,176.0,81.0,0.6,161.0,931.6
2022-10-09 16:00:00,285.85,0.0,81.0,85.0,0.3,106.0,931.2
2022-10-09 17:00:00,284.65,0.0,9.0,92.0,0.3,208.0,931.3
2022-10-09 18:00:00,283.65,0.0,0.0,96.0,0.3,51.0,931.6
2022-10-09 19:00:00,282.45,0.0,0.0,96.0,0.3,38.0,931.6
2022-10-09 20:00:00,282.15,0.0,0.0,96.0,0.2,360.0,931.9
2022-10-09 21:00:00,281.85,0.0,0.0,96.0,0.4,48.0,932.1
2022-10-09 22:00:00,281.85,0.0,0.0,97.0,0.5,24.0,932.1
2022-10-09 23:00:00,282.05,0.0,0.0,96.0,0.4,29.0,932.2
2022-10-10 00:00:00,282.05,0.0,0.0,96.0,0.5,34.0,932.2
2022-10-10 01:00:00,282.15,0.0,0.0,95.0,0.4,19.0,932.0
2022-10-10 02:00:00,281.85,0.0,0.0,95.0,0.5,357.0,931.8
2022-10-10 03:00:00,281.65,0.0,0.0,97.0,0.8,18.0,931.5
2022-10-10 04:00:00,281.35,0.0,0.0,98.0,0.6,11.0,931.5
2022-10-10 05:00:00,281.15,0.0,0.0,99.0,0.6,23.0,931.4
2022-10-10 06:00:00,281.15,0.0,4.0,99.0,0.5,16.0,931.5
2022-10-10 07:00:00,281.65,0.0,47.0,99.0,0.6,30.0,931.8
2022-10-10 08:00:00,282.85,0.0,119.0,94.0,0.8,31.0,932.1
2022-10-10 09:00:00,284.55,0.0,196.0,87.0,0.6,51.0,932.0
2022-10-10 10:00:00,286.65,0.0,322.0,77.0,0.7,51.0,931.7
2022-10-10 11:00:00,289.95,0.0,464.0,63.0,0.8,82.0,931.1
2022-10-10 12:00:00,291.15,0.0,569.0,57.0,0.6,96.0,930.4
2022-10-10 13:00:00,291.35,0.0,400.0,54.0,0.6,147.0,930.0
2022-10-10 14:00:00,290.35,0.0,106.0,68.0,1.2,157.0,930.1
2022-10-10 15:00:00,289.55,0.0,58.0,71.0,0.7,183.0,930.5
2022-10-10 16:00:00,288.55,0.0,23.0,81.0,0.2,27.0,931.0
2022-10-10 17:00:00,287.05,0.0,6.0,86.0,0.2,13.0,931.8
2022-10-10 18:00:00,286.15,1.6,0.0,90.0,0.5,5.0,932.5
2022-10-10 19:00:00,285.25,0.0,0.0,92.0,0.4,335.0,933.1
2022-10-10 20:00:00,283.85,0.0,0.0,95.0,0.4,5.0,933.5
2022-10-10 21:00:00,283.25,0.0,0.0,95.0,0.7,8.0,934.1
2022-10-10 22:00:00,282.45,0.0,0.0,98.0,0.7,39.0,934.2
2022-10-10 23:00:00,282.65,0.0,0.0,98.0,0.5,37.0,934.5
2022-10-11 00:00:00,282.85,0.0,0.0,98.0,0.4,43.0,934.7
2022-10-11 01:00:00,282.95,0.0,0.0,96.0,0.2,96.0,934.9
2022-10-11 02:00:00,282.45,0.0,0.0,95.0,0.6,153.0,934.9
2022-10-11 03:00:00,281.55,0.0,0.0,95.0,0.5,180.0,934.7
2022-10-11 04:00:00,281.55,0.0,0.0,97.0,0.4,152.0,935.1
2022-10-11 05:00:00,281.45,0.0,0.0,96.0,0.5,164.0,935.3
2022-10-11 06:00:00,281.45,0.0,4.0,96.0,0.6,188.0,935.3
2022-10-11 07:00:00,282.35,0.0,66.0,92.0,0.7,153.0,935.7
2022-10-11 08:00:00,283.15,0.0,151.0,85.0,0.7,134.0,935.9
2022-10-11 09:00:00,285.45,0.0,306.0,78.0,0.3,138.0,935.6
2022-10-11 10:00:00,287.05,0.0,381.0,71.0,0.8,117.0,934.8
2022-10-11 11:00:00,288.35,0.0,519.0,63.0,0.6,117.0,934.4
2022-10-11 12:00:00,289.65,0.0,498.0,59.0,0.5,46.0,933.7
2022-10-11 13:00:00,291.45,0.0,488.0,55.0,1.1,166.0,933.1
2022-10-11 14:00:00,291.65,0.0,390.0,51.0,1.6,183.0,932.7
2022-10-11 15:00:00,289.85,0.0,208.0,61.0,1.5,210.0,932.6
2022-10-11 16:00:00,288.25,0.0,71.0,70.0,0.9,239.0,933.0
2022-10-11 17:00:00,287.15,0.0,7.0,76.0,0.3,279.0,933.3
2022-10-11 18:00:00,285.25,0.0,0.0,84.0,0.3,1.0,933.8
2022-10-11 19:00:00,285.15,0.0,0.0,85.0,0.1,28.0,934.1
2022-10-11 20:00:00,284.95,0.0,0.0,85.0,0.6,179.0,934.4
2022-10-11 21:00:00,284.45,0.0,0.0,87.0,0.4,195.0,934.6
2022-10-11 22:00:00,284.25,0.0,0.0,88.0,0.3,178.0,934.4
2022-10-11 23:00:00,284.25,0.1,0.0,88.0,0.3,181.0,934.3
2022-10-12 00:00:00,283.65,0.4,0.0,93.0,0.2,222.0,934.3
2022-10-12 01:00:00,283.45,0.0,0.0,95.0,0.1,140.0,934.2
2022-10-12 02:00:00,282.95,0.0,0.0,96.0,0.1,117.0,934.1
2022-10-12 03:00:00,282.85,0.0,0.0,97.0,0.3,55.0,933.8
2022-10-12 04:00:00,282.55,0.0,0.0,96.0,0.4,35.0,934.1
2022-10-12 05:00:00,282.15,0.0,0.0,96.0,0.3,58.0,934.1
2022-10-12 06:00:00,282.25,0.0,2.0,97.0,0.1,101.0,934.4
2022-10-12 07:00:00,282.85,0.0,47.0,96.0,0.3,57.0,934.7
2022-10-12 08:00:00,283.75,0.0,101.0,94.0,0.3,82.0,934.9
2022-10-12 09:00:00,286.75,0.0,373.0,80.0,0.9,135.0,934.6
2022-10-12 10:00:00,288.85,0.0,513.0,67.0,0.9,153.0,934.1
2022-10-12 11:00:00,290.75,0.0,564.0,60.0,0.5,136.0,933.3
2022-10-12 12:00:00,292.75,0.0,577.0,51.0,0.7,174.0,932.6
2022-10-12 13:00:00,293.25,0.0,527.0,51.0,1.2,172.0,932.1
2022-10-12 14:00:00,293.55,0.0,415.0,47.0,1.6,185.0,931.5
2022-10-12 15:00:00,291.85,0.0,274.0,53.0,1.6,203.0,931.4
2022-10-12 16:00:00,288.95,0.0,58.0,64.0,0.6,239.0,931.8
2022-10-12 17:00:00,286.85,0.0,6.0,74.0,0.2,200.0,932.5
2022-10-12 18:00:00,286.25,0.0,0.0,78.0,0.4,331.0,933.3
2022-10-12 19:00:00,285.45,0.0,0.0,81.0,1.0,338.0,933.8
2022-10-12 20:00:00,284.25,0.0,0.0,84.0,0.7,360.0,934.1
2022-10-12 21:00:00,282.95,0.0,0.0,90.0,0.3,15.0,934.6
2022-10-12 22:00:00,281.85,0.0,0.0,92.0,0.2,355.0,934.7
2022-10-12 23:00:00,281.15,0.0,0.0,94.0,0.2,2.0,934.7
2022-10-13 00:00:00,280.55,0.0,0.0,95.0,0.2,31.0,934.7
2022-10-13 01:00:00,280.05,0.0,0.0,96.0,0.3,358.0,934.5
2022-10-13 02:00:00,279.55,0.0,0.0,96.0,0.2,360.0,934.4
2022-10-13 03:00:00,278.95,0.0,0.0,96.0,0.4,42.0,934.4
2022-10-13 04:00:00,278.35,0.0,0.0,97.0,0.4,28.0,934.3
2022-10-13 05:00:00,278.05,0.0,0.0,97.0,0.3,51.0,934.4
2022-10-13 06:00:00,277.75,0.0,5.0,98.0,0.4,43.0,934.4
2022-10-13 07:00:00,278.85,0.0,62.0,98.0,0.6,43.0,934.4
2022-10-13 08:00:00,280.55,0.0,231.0,95.0,1.1,41.0,934.0
2022-10-13 09:00:00,282.65,0.0,324.0,88.0,1.1,58.0,933.3
2022-10-13 10:00:00,286.15,0.0,475.0,71.0,0.8,88.0,932.4
2022-10-13 11:00:00,288.95,0.0,526.0,61.0,0.7,89.0,931.5
2022-10-13 12:00:00,289.05,0.0,318.0,57.0,0.6,95.0,930.9
2022-10-13 13:00:00,290.05,0.0,271.0,54.0,0.3,110.0,930.2
2022-10-13 14:00:00,290.35,0.0,268.0,52.0,0.5,65.0,929.8
2022-10-13 15:00:00,290.15,0.0,165.0,58.0,0.4,164.0,929.6
2022-10-13 16:00:00,288.55,0.0,67.0,64.0,1.1,212.0,929.8
2022-10-13 17:00:00,287.25,0.0,11.0,69.0,1.1,216.0,930.1
2022-10-13 18:00:00,285.25,0.0,0.0,81.0,0.3,251.0,930.5
2022-10-13 19:00:00,283.85,0.0,0.0,84.0,0.6,8.0,930.4
2022-10-13 20:00:00,283.15,0.0,0.0,88.0,0.3,29.0,930.7
2022-10-13 21:00:00,283.65,0.1,0.0,89.0,0.1,151.0,930.8
2022-10-13 22:00:00,283.85,0.5,0.0,91.0,0.3,167.0,931.3
2022-10-13 23:00:00,283.75,1.7,0.0,92.0,1.8,173.0,931.5
2022-10-14 00:00:00,283.45,0.1,0.0,94.0,0.6,170.0,931.5
2022-10-14 01:00:00,283.05,0.1,0.0,95.0,0.4,215.0,931.4
2022-10-14 02:00:00,282.85,0.0,0.0,95.0,0.3,176.0,931.1
2022-10-14 03:00:00,282.75,0.0,0.0,96.0,0.4,53.0,931.0
2022-10-14 04:00:00,282.65,0.1,0.0,96.0,0.3,38.0,931.0
2022-10-14 05:00:00,282.75,0.0,0.0,97.0,0.4,183.0,930.8
2022-10-14 06:00:00,282.65,0.1,2.0,96.0,0.5,173.0,930.7
2022-10-14 07:00:00,282.95,0.0,32.0,96.0,0.5,109.0,930.7
2022-10-14 08:00:00,284.25,0.0,163.0,89.0,0.5,111.0,930.7
2022-10-14 09:00:00,284.95,0.0,173.0,86.0,0.5,148.0,930.4
2022-10-14 10:00:00,286.95,0.0,434.0,73.0,0.5,128.0,929.8
2022-10-14 11:00:00,288.05,0.0,448.0,68.0,1.0,160.0,928.9
2022-10-14 12:00:00,287.55,0.0,223.0,71.0,1.1,177.0,928.4
2022-10-14 13:00:00,287.15,0.0,130.0,80.0,1.0,177.0,928.4
2022-10-14 14:00:00,287.65,0.1,169.0,77.0,0.1,140.0,927.7
2022-10-14 15:00:00,287.15,0.0,126.0,78.0,0.5,134.0,927.3
2022-10-14 16:00:00,286.35,0.0,13.0,84.0,0.4,196.0,927.6
2022-10-14 17:00:00,285.55,0.1,0.0,91.0,0.3,186.0,927.8
2022-10-14 18:00:00,285.15,0.0,0.0,93.0,0.4,9.0,927.8
2022-10-14 19:00:00,284.55,0.0,0.0,95.0,0.2,76.0,927.6
2022-10-14 20:00:00,284.25,0.0,0.0,96.0,0.2,20.0,927.7
2022-10-14 21:00:00,284.45,0.3,0.0,96.0,0.2,91.0,927.9
2022-10-14 22:00:00,284.25,0.9,0.0,97.0,0.4,150.0,927.8
2022-10-14 23:00:00,284.15,0.7,0.0,97.0,0.7,171.0,927.4
2022-10-15 00:00:00,284.25,0.4,0.0,96.0,0.8,181.0,927.0
2022-10-15 01:00:00,284.05,0.6,0.0,97.0,0.2,219.0,926.7
2022-10-15 02:00:00,283.95,1.0,0.0,97.0,0.3,244.0,926.5
2022-10-15 03:00:00,283.95,0.6,0.0,97.0,0.4,225.0,926.2
