date,region_id,wet_snow_fraction,n_valid,n_wet,source
2023-03-12,,0.022,156982,3453,WSM_S1A_SAR_track117_2023_03_12_17_07_24.tif
2023-03-16,,0.0294,158953,4667,WSM_S1A_SAR_track168_2023_03_16_05_27_37.tif
2023-03-24,,0.4664,156982,73218,WSM_S1A_SAR_track117_2023_03_24_17_07_24.tif
2023-03-28,,0.2661,158953,42301,WSM_S1A_SAR_track168_2023_03_28_05_27_38.tif
2023-04-05,,0.0621,156982,9750,WSM_S1A_SAR_track117_2023_04_05_17_07_24.tif
2023-04-09,,0.0972,158953,15451,WSM_S1A_SAR_track168_2023_04_09_05_27_38.tif
2023-04-17,,0.375,156982,58863,WSM_S1A_SAR_track117_2023_04_17_17_07_25.tif
2023-04-21,,0.1889,158953,30034,WSM_S1A_SAR_track168_2023_04_21_05_27_38.tif
2023-04-29,,0.7357,156982,115498,WSM_S1A_SAR_track117_2023_04_29_17_07_25.tif
2023-05-03,,0.6166,158953,98009,WSM_S1A_SAR_track168_2023_05_03_05_27_39.tif
2023-05-11,,0.8905,156982,139793,WSM_S1A_SAR_track117_2023_05_11_17_07_26.tif
2023-05-15,,0.8196,158953,130278,WSM_S1A_SAR_track168_2023_05_15_05_27_40.tif
2023-05-23,,0.7113,156982,111655,WSM_S1A_SAR_track117_2023_05_23_17_07_26.tif
2023-05-27,,0.7275,158953,115633,WSM_S1A_SAR_track168_2023_05_27_05_27_40.tif
2023-06-04,,0.5543,156982,87018,WSM_S1A_SAR_track117_2023_06_04_17_07_27.tif
2023-06-08,,0.5495,158953,87351,WSM_S1A_SAR_track168_2023_06_08_05_27_40.tif
2023-06-16,,0.3962,156982,62204,WSM_S1A_SAR_track117_2023_06_16_17_07_28.tif
2023-06-20,,0.3432,158953,54557,WSM_S1A_SAR_track168_2023_06_20_05_27_41.tif
2023-06-28,,0.1094,156982,17167,WSM_S1A_SAR_track117_2023_06_28_17_07_28.tif
2023-07-02,,0.0688,158953,10935,WSM_S1A_SAR_track168_2023_07_02_05_27_42.tif
2023-07-10,,0.0261,156982,4094,WSM_S1A_SAR_track117_2023_07_10_17_07_29.tif
2023-07-14,,0.0301,158953,4779,WSM_S1A_SAR_track168_2023_07_14_05_27_43.tif
2023-07-22,,0.0022,156982,339,WSM_S1A_SAR_track117_2023_07_22_17_07_30.tif
2023-07-26,,0.0016,158953,249,WSM_S1A_SAR_track168_2023_07_26_05_27_44.tif
